scenario_idx,timestep,t_sim,adv_ctrl_pitch,adv_ctrl_yaw,adv_ctrl_throttle,base_ctrl_pitch,base_ctrl_yaw,base_ctrl_throttle,state_norm,safe_flag,active_controller,switch_event,recovery_timestep
0,0,0.0,-0.7463474715923651,0.26052897347523696,0.19399840577527994,0.0,0.0,0.3333333333333333,0.0,True,ADVANCED,False,-1
0,1,0.01,-0.7491288746182386,0.24054206145908522,0.19407576004550048,4.591327578065957e-08,-3.126347681702844e-07,0.3333333333333333,1.5273377603092448e-11,True,ADVANCED,False,-1
0,2,0.02,-0.7497845686947571,0.27245638658372306,0.19414700979942984,1.3439452072540562e-07,-8.826565332744426e-07,0.3333333333333333,4.3174306918165125e-11,True,ADVANCED,False,-1
0,3,0.03,-0.7570030329959376,0.2528111484040639,0.1942149030608094,2.624020057455243e-07,-1.7226237857686526e-06,0.3333333333333333,8.42310542641748e-11,True,ADVANCED,False,-1
0,4,0.04,-0.7550026735243811,0.2560880898554505,0.1942777177465027,4.2752199682413854e-07,-2.7819676910983185e-06,0.3333333333333333,1.3601699627744006e-10,True,ADVANCED,False,-1
0,5,0.05,-0.7872722112679357,0.2841541890237435,0.19433547683724467,6.27075633286774e-07,-4.04268291372156e-06,0.3333333333333333,1.9765381084460484e-10,True,ADVANCED,False,-1
0,6,0.06,-0.7533281722902769,0.25879130991628985,0.1943904252121994,8.607514330573261e-07,-5.5183116409109704e-06,0.3333333333333333,2.6974073514514523e-10,True,ADVANCED,False,-1
0,7,0.07,-0.7664977323987219,0.2767947458354689,0.1944404252504325,1.124169682239286e-06,-7.156927067280994e-06,0.3333333333333333,3.497948448134013e-10,True,ADVANCED,False,-1
0,8,0.08,-0.7814710317403932,0.2954427560631855,0.19448633517242286,1.416335358357683e-06,-8.963834646016583e-06,0.3333333333333333,4.3804540608134246e-10,True,ADVANCED,False,-1
0,9,0.09,-0.7840359915226481,0.28541071435013055,0.19452938117976132,1.7364545042009649e-06,-1.0944582774154438e-05,0.3333333333333333,5.347139690630334e-10,True,ADVANCED,False,-1
0,10,0.1,-0.8326855564439818,0.32603832043254233,0.19492609209851344,2.0830547352289507e-06,-1.3069748946698675e-05,0.3333333333333333,6.383970018943212e-10,True,ADVANCED,False,-1
0,11,0.11,-0.8319637297939142,0.3336668276267342,0.1949310293256414,2.4576226110309285e-06,-1.5373644486507554e-05,0.3333333333333333,7.508829062401868e-10,True,ADVANCED,False,-1
0,12,0.12,-0.8457893884462203,0.33390988527493737,0.19493552510171083,2.858613687800963e-06,-1.7847550665487527e-05,0.3333333333333333,8.717218947251063e-10,True,ADVANCED,False,-1
0,13,0.13,-0.8249805375006125,0.3233095408599529,0.1949396224093513,3.28546085519588e-06,-2.04747580888992e-05,0.3333333333333333,1.0000941109554833e-09,True,ADVANCED,False,-1
0,14,0.14,-0.8150065369664404,0.3163191402544343,0.19494330587036984,3.735548997978483e-06,-2.3227216219001297e-05,0.3333333333333333,1.1346506008888085e-09,True,ADVANCED,False,-1
0,15,0.15,-0.8278021902926609,0.33969330892168265,0.19494661028013413,4.2072412168415846e-06,-2.6084011504398023e-05,0.3333333333333333,1.2743739100552876e-09,True,ADVANCED,False,-1
0,16,0.16,-0.8213862941866018,0.3151734037936277,0.19494965876061124,4.700333892237313e-06,-2.9062759231960474e-05,0.3333333333333333,1.4200682685195355e-09,True,ADVANCED,False,-1
0,17,0.17,-0.8219688631287837,0.32228194369300417,0.19495238583111485,5.213514388290313e-06,-3.212184027131828e-05,0.3333333333333333,1.5697608803037035e-09,True,ADVANCED,False,-1
0,18,0.18,-0.8245663637338387,0.3261507787295224,0.1949548487101053,5.74611116868076e-06,-3.526175153917102e-05,0.3333333333333333,1.7234500403805112e-09,True,ADVANCED,False,-1
0,19,0.19,-0.8199842280860898,0.32161752729472304,0.19495709459655525,6.297504189188677e-06,-3.847905261471288e-05,0.3333333333333333,1.8809562283072858e-09,True,ADVANCED,False,-1
0,20,0.2,-0.8777247489021116,0.33581735261867496,0.19496755276695732,6.866817874589555e-06,-4.17605646154531e-05,0.3333333333333333,2.0416404157492315e-09,True,ADVANCED,False,-1
0,21,0.21,-0.8768523179601965,0.3210786242349665,0.19496859343983214,7.457026881252788e-06,-4.5116906239260426e-05,0.3333333333333333,2.2064049927062982e-09,True,ADVANCED,False,-1
0,22,0.22,-0.8499958249345094,0.32828919986505767,0.19496952918986066,8.06728163079896e-06,-4.852290804976683e-05,0.3333333333333333,2.3740355619288932e-09,True,ADVANCED,False,-1
0,23,0.23,-0.8501927838450836,0.32316697015673423,0.19497037849883544,8.695278442976206e-06,-5.1982256719057645e-05,0.3333333333333333,2.544656378913781e-09,True,ADVANCED,False,-1
0,24,0.24,-0.8776351703298496,0.30848767031993535,0.19497114660723966,9.340487276616469e-06,-5.5483470885603544e-05,0.3333333333333333,2.7176918042430793e-09,True,ADVANCED,False,-1
0,25,0.25,0.6938460244377085,-0.24658074822548254,-0.1559774700129983,1.0004209039093299e-05,-5.900474883987403e-05,0.3333333333333333,2.8921171885834046e-09,True,ADVANCED,False,-1
0,26,0.26,0.7025595377782661,-0.25095146429050036,-0.15597796624040494,1.0589204445046048e-05,-6.187800210084138e-05,0.3333333333333333,3.034209947318649e-09,True,ADVANCED,False,-1
0,27,0.27,0.6874881027608525,-0.2518755634078739,-0.15597841619292982,1.110183077994062e-05,-6.416278827855947e-05,0.3333333333333333,3.1469324527145482e-09,True,ADVANCED,False,-1
0,28,0.28,0.6955645551350811,-0.25978530162304925,-0.1559788215793203,1.1549143438863334e-05,-6.591684516241379e-05,0.3333333333333333,3.2331666744908187e-09,True,ADVANCED,False,-1
0,29,0.29,0.6850766445422011,-0.25581163803269663,-0.15597918872828084,1.1936153364184254e-05,-6.71837539959339e-05,0.3333333333333333,3.2951152119560973e-09,True,ADVANCED,False,-1
0,30,0.3,0.5980910603199608,-0.2665195893647449,-0.15598061665317056,1.2268524233843212e-05,-6.801699798046286e-05,0.3333333333333333,3.3354411825357446e-09,True,ADVANCED,False,-1
0,31,0.31,0.5963543940565469,-0.2476773487493155,-0.15598080771205594,1.2556003170447135e-05,-6.844709405930242e-05,0.3333333333333333,3.356041442885732e-09,True,ADVANCED,False,-1
0,32,0.32,0.6082913050283819,-0.2604117583835868,-0.15598097672322664,1.280229427863248e-05,-6.853696771176038e-05,0.3333333333333333,3.3599393700103e-09,True,ADVANCED,False,-1
0,33,0.33,0.6129922695057949,-0.25076115773391683,-0.1559811322113922,1.3009907507268957e-05,-6.830535988891408e-05,0.3333333333333333,3.348085597265744e-09,True,ADVANCED,False,-1
0,34,0.34,0.601917580041624,-0.25441569764832067,-0.15598127230238235,1.3181509321776408e-05,-6.779599945907384e-05,0.3333333333333333,3.322596845031843e-09,True,ADVANCED,False,-1
0,35,0.35000000000000003,0.6167371059386723,-0.2497320203801711,-0.15598139878572748,1.332049270963635e-05,-6.703227623504195e-05,0.3333333333333333,3.2846413101483997e-09,True,ADVANCED,False,-1
0,36,0.36,0.5953686518257898,-0.26753160967377637,-0.15598151203672359,1.342821781855948e-05,-6.604524690895964e-05,0.3333333333333333,3.235713888200097e-09,True,ADVANCED,False,-1
0,37,0.37,0.6081945981892136,-0.2606938292232727,-0.15598161527445237,1.3508266577754258e-05,-6.483588258387977e-05,0.3333333333333333,3.175929124118165e-09,True,ADVANCED,False,-1
0,38,0.38,0.6173873514830714,-0.2743227512086269,-0.1559817073798317,1.3561691155393142e-05,-6.3434622096243e-05,0.3333333333333333,3.1067515811105754e-09,True,ADVANCED,False,-1
0,39,0.39,0.6008879088709089,-0.2496283715488449,-0.15598179270920623,1.3589729769135292e-05,-6.184430035592272e-05,0.3333333333333333,3.028361883564765e-09,True,ADVANCED,False,-1
0,40,0.4,0.5470161043512338,-0.26772578677902,-0.15598204322125667,1.3594925103879903e-05,-6.0113456743779197e-05,0.3333333333333333,2.9430681423383546e-09,True,ADVANCED,False,-1
0,41,0.41000000000000003,0.5581933131413443,-0.24779742239386782,-0.15598209473751745,1.3582087693953075e-05,-5.8234426548718674e-05,0.3333333333333333,2.850844853948433e-09,True,ADVANCED,False,-1
0,42,0.42,0.5579547788260285,-0.26177621385102356,-0.15598214061786214,1.3551390948600773e-05,-5.624594246629449e-05,0.3333333333333333,2.753490465051613e-09,True,ADVANCED,False,-1
0,43,0.43,0.5718689488437215,-0.26043267527071995,-0.15598218243553766,1.3503865728867974e-05,-5.414217533549393e-05,0.3333333333333333,2.6507341929247343e-09,True,ADVANCED,False,-1
0,44,0.44,0.5676467901236633,-0.269482227509323,-0.15598222021855998,1.3439504050039268e-05,-5.1936265707450575e-05,0.3333333333333333,2.543190945013012e-09,True,ADVANCED,False,-1
0,45,0.45,0.5724771958573881,-0.2611184820503049,-0.15598225468517127,1.335936026024251e-05,-4.962756836920197e-05,0.3333333333333333,2.4308306603724153e-09,True,ADVANCED,False,-1
0,46,0.46,0.5554459304132855,-0.2584099783954481,-0.1559822857528601,1.326388008695444e-05,-4.723639858631913e-05,0.3333333333333333,2.3146109835501284e-09,True,ADVANCED,False,-1
0,47,0.47000000000000003,0.5655116546560895,-0.25565411760719486,-0.1559823138466434,1.3154789707851158e-05,-4.4774253807651005e-05,0.3333333333333333,2.195077244104318e-09,True,ADVANCED,False,-1
0,48,0.48,0.5518699706883757,-0.23993852074912386,-0.1559823394526727,1.3032000210114608e-05,-4.225153856572178e-05,0.3333333333333333,2.072713800892667e-09,True,ADVANCED,False,-1
0,49,0.49,0.5721362706712891,-0.26075598387783966,-0.15598236211460242,1.2896870670046571e-05,-3.9693168623087066e-05,0.3333333333333333,1.9486981035708493e-09,True,ADVANCED,False,-1
0,50,0.5,0.6719979551739218,-0.2485504270866354,-0.15598238955179922,1.2748543147914646e-05,-3.707772849406277e-05,0.3333333333333333,1.822034064271902e-09,True,ADVANCED,False,-1
0,51,0.51,0.6621499878504475,-0.24684903200814923,-0.15598240748746564,1.2581353201470899e-05,-3.4425571865437115e-05,0.3333333333333333,1.6938910958296084e-09,True,ADVANCED,False,-1
0,52,0.52,0.645706944664671,-0.2534593511272355,-0.1559824236322438,1.2396792073140266e-05,-3.174241206126368e-05,0.3333333333333333,1.5645401980254216e-09,True,ADVANCED,False,-1
0,53,0.53,0.6608934473093765,-0.2672390540935216,-0.15598243822847702,1.2196607577664097e-05,-2.9023417016153722e-05,0.3333333333333333,1.4338043977367506e-09,True,ADVANCED,False,-1
0,54,0.54,0.6493750060872863,-0.24607956364200356,-0.15598245166090008,1.1980454991545309e-05,-2.6255634610640837e-05,0.3333333333333333,1.3011263472833514e-09,True,ADVANCED,False,-1
0,55,0.55,0.6654943781683559,-0.2601848813897272,-0.15598246355877865,1.1749639682944788e-05,-2.3469334969306682e-05,0.3333333333333333,1.1679896690408262e-09,True,ADVANCED,False,-1
0,56,0.56,0.6596666452421678,-0.2550311089122338,-0.1559824744884671,1.1503694867754507e-05,-2.0649443434435748e-05,0.3333333333333333,1.0338243043964573e-09,True,ADVANCED,False,-1
0,57,0.5700000000000001,0.656276689713568,-0.26535000200664155,-0.15598248425263217,1.1243437330519872e-05,-1.780550372235438e-05,0.3333333333333333,8.992943113238177e-10,True,ADVANCED,False,-1
0,58,0.58,0.6569466708014178,-0.2523918504935728,-0.15598249325260494,1.0969602460127128e-05,-1.4927537979070073e-05,0.3333333333333333,7.643559660975702e-10,True,ADVANCED,False,-1
0,59,0.59,0.6583887970323965,-0.2596929875790643,-0.15598250129135294,1.0682471952944867e-05,-1.2034498589518578e-05,0.3333333333333333,6.30616742858041e-10,True,ADVANCED,False,-1
0,60,0.6,0.4772413507803392,-0.26059626164889993,-0.15598251111615752,1.038223635365086e-05,-9.119131553823831e-06,0.3333333333333333,4.992736566047353e-10,True,ADVANCED,False,-1
0,61,0.61,0.4533423368676703,-0.2453727416585576,-0.15598251710018027,1.0080472167129043e-05,-6.1825857077162034e-06,0.3333333333333333,3.7372559127502236e-10,True,ADVANCED,False,-1
0,62,0.62,0.4664664042478025,-0.2599163450975139,-0.15598252237139087,9.778026784402518e-06,-3.2452471562255435e-06,0.3333333333333333,2.646142589054065e-10,True,ADVANCED,False,-1
0,63,0.63,0.4608100180275707,-0.254517873237236,-0.15598252718949202,9.47352140857233e-06,-2.8974284576354943e-07,0.3333333333333333,2.0080454612152177e-10,True,ADVANCED,False,-1
0,64,0.64,0.46857477854138846,-0.2694668196595957,-0.15598253145108656,9.166762013587692e-06,2.6756324815402057e-06,0.3333333333333333,2.2625091856998474e-10,True,ADVANCED,False,-1
0,65,0.65,0.46987007958744365,-0.2490770621901609,-0.1559825353342509,8.856845312587585e-06,5.667830459708282e-06,0.3333333333333333,3.216499142718957e-10,True,ADVANCED,False,-1
0,66,0.66,0.46426378315187694,-0.2545560081576811,-0.15598253874084525,8.543229941547593e-06,8.659701114690855e-06,0.3333333333333333,4.44032937497113e-10,True,ADVANCED,False,-1
0,67,0.67,0.46515500750052574,-0.25544193201018367,-0.1559825417941875,8.22604593950819e-06,1.1657851913967446e-05,0.3333333333333333,5.767364271200575e-10,True,ADVANCED,False,-1
0,68,0.68,0.4664054195718008,-0.25471308235998574,-0.15598254449503135,7.904777351516386e-06,1.4662717951731608e-05,0.3333333333333333,7.142339178278339e-10,True,ADVANCED,False,-1
0,69,0.6900000000000001,0.4588567691159875,-0.261895178380267,-0.15598254687328783,7.579134776326513e-06,1.767275308455431e-05,0.3333333333333333,8.543041195702741e-10,True,ADVANCED,False,-1
0,70,0.7000000000000001,0.5495806742663129,-0.2513033454478824,-0.1559825390848653,7.24933573653302e-06,2.0696058918154013e-05,0.3333333333333333,9.963437644983352e-10,True,ADVANCED,False,-1
0,71,0.71,0.5538027805726136,-0.2650366075433926,-0.1559825397166873,6.909423187615885e-06,2.3718598182934127e-05,0.3333333333333333,1.139254400344016e-09,True,ADVANCED,False,-1
0,72,0.72,0.5314903759615629,-0.2657343337627675,-0.15598254007722842,6.55944239092749e-06,2.6756927450291228e-05,0.3333333333333333,1.2835149703006089e-09,True,ADVANCED,False,-1
0,73,0.73,0.5555551059508013,-0.25612071463925856,-0.15598254009414034,6.20089958691521e-06,2.981030499143085e-05,0.3333333333333333,1.4288997598420758e-09,True,ADVANCED,False,-1
0,74,0.74,0.5393418368512095,-0.26081509632313177,-0.15598253984179247,5.8323277958767945e-06,3.286568963602652e-05,0.3333333333333333,1.5746764947449004e-09,True,ADVANCED,False,-1
0,75,0.75,0.5293362583726554,-0.26342650678122026,-0.15598253929399541,5.454946650781291e-06,3.592851393175325e-05,0.3333333333333333,1.7210211465350069e-09,True,ADVANCED,False,-1
0,76,0.76,0.5351507586684099,-0.2635518803303338,-0.15598253845669083,5.069418077151188e-06,3.900116760604763e-05,0.3333333333333333,1.8679915103407548e-09,True,ADVANCED,False,-1
0,77,0.77,0.5318101825912995,-0.26326589904451775,-0.15598253733685832,4.675451885942687e-06,4.208281816931178e-05,0.3333333333333333,2.0155121047595783e-09,True,ADVANCED,False,-1
0,78,0.78,0.5417736175190276,-0.2556827025086276,-0.15598253592429817,4.27323962219561e-06,4.517222275510574e-05,0.3333333333333333,2.163496571564346e-09,True,ADVANCED,False,-1
0,79,0.79,0.5383166215717925,-0.2626404562593116,-0.15598253420502783,3.862215387828847e-06,4.8259506125333416e-05,0.3333333333333333,2.3114563564359957e-09,True,ADVANCED,False,-1
0,80,0.8,0.5850597225563077,-0.2618746932577423,-0.15598249099383302,3.4426751004219147e-06,5.1353229706052236e-05,0.3333333333333333,2.4597833649456153e-09,True,ADVANCED,False,-1
0,81,0.81,0.5827969418509736,-0.26805729365560466,-0.15598248489414568,3.0117398532175316e-06,5.445183056061117e-05,0.3333333333333333,2.608404924335201e-09,True,ADVANCED,False,-1
0,82,0.8200000000000001,0.5773087631327889,-0.24696850229783518,-0.15598247807877125,2.569878887122093e-06,5.756224008210354e-05,0.3333333333333333,2.757637517710471e-09,True,ADVANCED,False,-1
0,83,0.8300000000000001,0.5806900863507151,-0.25620873037541236,-0.15598247052294226,2.117574816069168e-06,6.065797085420656e-05,0.3333333333333333,2.9062095906709197e-09,True,ADVANCED,False,-1
0,84,0.84,0.5808419287854991,-0.2624795693781781,-0.155982462207945,1.6548497265694543e-06,6.375157902555215e-05,0.3333333333333333,3.054711851879535e-09,True,ADVANCED,False,-1
0,85,0.85,0.5779063336253464,-0.25144727177615595,-0.15598245307835412,1.1818506519480817e-06,6.685080186301923e-05,0.3333333333333333,3.2035064767472507e-09,True,ADVANCED,False,-1
0,86,0.86,0.5905304624633773,-0.26401093160902755,-0.15598244293729935,6.989551204967148e-07,6.994183914287314e-05,0.3333333333333333,3.3519316549401196e-09,True,ADVANCED,False,-1
0,87,0.87,0.5762018525059104,-0.2673644415641977,-0.15598243182235205,2.0543609747500734e-07,7.304058581267451e-05,0.3333333333333333,3.5007429307520516e-09,True,ADVANCED,False,-1
0,88,0.88,0.5914457408122464,-0.2596099711761914,-0.1559824197288652,-2.976236799689713e-07,7.61502951453747e-05,0.3333333333333333,3.6500885768438465e-09,True,ADVANCED,False,-1
0,89,0.89,0.572698580526722,-0.2499596775781023,-0.1559824065601081,-8.110574049884966e-07,7.926056551021815e-05,0.3333333333333333,3.799475423598263e-09,True,ADVANCED,False,-1
0,90,0.9,0.9445588973612171,-0.25493927241713354,-0.15598218240246453,-1.333578819175079e-06,8.23597604516727e-05,0.3333333333333333,3.948343384271143e-09,True,ADVANCED,False,-1
0,91,0.91,0.9484850067445691,-0.2526962146507239,-0.15598214329112642,-1.8879696696184234e-06,8.545496302588401e-05,0.3333333333333333,4.09711356365864e-09,True,ADVANCED,False,-1
0,92,0.92,0.9515169670898009,-0.24886653486744917,-0.15598210020820302,-2.4727107669579167e-06,8.854388080025613e-05,0.3333333333333333,4.245669992164534e-09,True,ADVANCED,False,-1
0,93,0.93,0.9502461097889541,-0.2624870883676726,-0.15598205310938484,-3.0864344825318843e-06,9.162254663903251e-05,0.3333333333333333,4.393818108569882e-09,True,ADVANCED,False,-1
0,94,0.9400000000000001,0.9544174104848395,-0.2575408454217699,-0.15598200075416854,-3.727538538737581e-06,9.470833039997247e-05,0.3333333333333333,4.542378274216552e-09,True,ADVANCED,False,-1
0,95,0.9500000000000001,0.9487338587774806,-0.2618756835006036,-0.15598194330550622,-4.394977359262885e-06,9.779458479932406e-05,0.3333333333333333,4.691031052263511e-09,True,ADVANCED,False,-1
0,96,0.96,0.9505497059394102,-0.26708202245878937,-0.15598187996526966,-5.087191988930132e-06,0.00010088646457894026,0.3333333333333333,4.840016323668194e-09,True,ADVANCED,False,-1
0,97,0.97,0.9496891584417295,-0.2488568753578748,-0.1559818100747643,-5.803295945393053e-06,0.00010398965480754399,0.3333333333333333,4.9896009058989315e-09,True,ADVANCED,False,-1
0,98,0.98,0.9599693022219485,-0.2575155311673027,-0.15598173297118936,-6.542167608075845e-06,0.00010708115426371497,0.3333333333333333,5.138688950668383e-09,True,ADVANCED,False,-1
0,99,0.99,0.9533556299779621,-0.27303273619280577,-0.1559816486077912,-7.3036824534267604e-06,0.0001101725224116674,0.3333333333333333,5.2878298944118344e-09,True,ADVANCED,False,-1
1,0,0.0,-1.167865024470368,0.24759448479519003,0.17305673737512312,0.0,0.0,0.3333333333333333,0.0,True,ADVANCED,False,-1
1,1,0.01,-1.163586050829584,0.25971391668096916,0.17305745892442484,7.180384938663734e-08,-2.971133817542281e-07,0.3333333333333333,1.488915823849088e-11,True,ADVANCED,False,-1
1,2,0.02,-1.1757145113363385,0.2755538471075832,0.1730582156776586,2.0974634075010868e-07,-8.761721253501963e-07,0.3333333333333333,4.3840594002627954e-11,True,ADVANCED,False,-1
1,3,0.03,-1.166341371620733,0.26733017752070615,0.17305899252930426,4.0973987882306106e-07,-1.7279896111156676e-06,0.3333333333333333,8.632181125154815e-11,True,ADVANCED,False,-1
1,4,0.04,-1.1718530485115113,0.24849564738465477,0.17305980522447353,6.666956277649224e-07,-2.815421561329439e-06,0.3333333333333333,1.405201493721144e-10,True,ADVANCED,False,-1
1,5,0.05,-1.1688869095005887,0.2700143219448387,0.17306069701715038,9.770466284022808e-07,-4.09230509338342e-06,0.3333333333333333,2.042352100130241e-10,True,ADVANCED,False,-1
1,6,0.06,-1.1589690479355101,0.26221091817967573,0.1730615769387877,1.3369940124672572e-06,-5.565517458565811e-06,0.3333333333333333,2.7770358644324336e-10,True,ADVANCED,False,-1
1,7,0.07,-1.1566298046893608,0.26021783558056805,0.1730625495077462,1.7427350018563298e-06,-7.2060616890455735e-06,0.3333333333333333,3.595067917675184e-10,True,ADVANCED,False,-1
1,8,0.08,-1.1671401110168844,0.25523062816139563,0.17306352649742812,2.1913284587281364e-06,-8.99481289917404e-06,0.3333333333333333,4.487140826524415e-10,True,ADVANCED,False,-1
1,9,0.09,-1.1588316762044675,0.25386204223564934,0.17306457432667027,2.6808183959421833e-06,-1.0910965742083326e-05,0.3333333333333333,5.443085202884598e-10,True,ADVANCED,False,-1
1,10,0.1,-1.1589509278231789,0.28173906419576167,0.17304283707991133,3.208385244654264e-06,-1.294013775138445e-05,0.3333333333333333,6.455773306033088e-10,True,ADVANCED,False,-1
1,11,0.11,-1.1799483080862192,0.25609616605092983,0.1730428363840352,3.771933771378141e-06,-1.510447943679036e-05,0.3333333333333333,7.53708398329246e-10,True,ADVANCED,False,-1
1,12,0.12,-1.162663989807669,0.2571282126188764,0.1730428356082866,4.370954188450809e-06,-1.7359702352916557e-05,0.3333333333333333,8.666192892022496e-10,True,ADVANCED,False,-1
1,13,0.13,-1.1884791116069735,0.26855644449029814,0.1730428347152624,5.002520920940409e-06,-1.969795683257234e-05,0.3333333333333333,9.83883346056625e-10,True,ADVANCED,False,-1
